범죄대분류,범죄중분류,단독주택_다가구_다중,아파트,다세대_연립,오피스텔_원룸,기타거주시설_기숙사 등,고속도로,자동차 전용도로,일반도로,통행로_보도_골목길,백화점,대형할인점,슈퍼마켓_소매점,편의점,시장_노점,창고_매장창고한정,무인상점,기타상점,숙박업소_호텔_모텔_여관,목욕탕_찜질방_사우나,이발소_미용실,마사지업소,공중위생업소_기타,음식점,카페,주점,단란_유흥주점_나이트_클럽_카바레,버스터미널_정류소,지하철역_전철역,기차역,여객선터미널,공항,버스,택시,자가용자동차,지하철_전철,기차,선박,비행기,교통수단내_기타,공연장_극장,체육시설,공원_놀이시설,게임장_피씨방,기타_디브이디방_유원지,어린이집_유치원,학교,도서관,학원,기타 교육시설,금융보험기관,의료기관,종교시설,야외_산야,해안,폐가_공터,공중화장실,관공서,군사기지_군사시설,구금장소,사회복지시설,기타,미상
강력범죄,살인기수,35,67,44,14,8,0,0,1,11,0,0,0,0,1,1,0,0,9,0,2,0,0,1,2,2,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,11,0,0,1,1,0,1,0,32,3
강력범죄,살인미수등,50,95,69,22,10,1,0,21,39,0,1,4,3,3,0,0,11,11,1,1,2,1,8,0,5,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,6,2,0,0,0,0,0,0,0,7,2,15,1,1,0,2,0,1,1,91,2
강력범죄,강도,26,21,13,33,3,0,0,20,45,0,6,6,36,0,1,3,19,34,0,1,6,1,5,3,7,10,0,0,0,0,2,0,5,16,0,0,0,0,1,0,0,7,2,1,1,1,0,1,0,5,2,2,16,0,4,4,2,0,1,0,83,2
강력범죄,강간,357,712,581,567,62,1,0,18,27,0,1,1,3,0,3,1,39,1445,5,1,27,12,20,38,53,94,1,1,0,0,0,0,1,139,0,0,0,0,1,0,6,14,7,29,0,15,3,4,1,0,13,8,21,2,8,39,4,1,0,4,356,31
강력범죄,유사강간,59,107,106,103,28,0,0,5,13,0,0,0,3,1,0,0,10,171,9,0,13,1,6,8,16,56,0,1,0,0,0,3,4,34,0,0,0,0,1,2,2,4,2,9,2,7,0,3,2,0,13,2,9,0,2,20,0,0,1,1,56,2
강력범죄,강제추행,420,903,496,442,110,18,2,294,1133,36,69,69,285,71,16,27,397,558,228,36,105,44,1061,149,1123,1159,82,269,9,1,9,453,156,317,516,0,0,12,32,35,202,182,82,109,7,447,16,105,40,17,332,53,179,5,11,37,76,38,71,47,2119,60
강력범죄,기타 강간/강제추행등,15,32,19,12,4,0,0,1,2,0,0,0,0,1,0,0,1,24,0,1,1,1,3,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,1,0,2,0,0,3,0,0,0,0,11,0
강력범죄,방화,160,191,124,43,27,1,0,22,60,0,0,2,0,10,3,1,21,24,1,2,1,2,15,3,5,4,1,1,1,1,1,0,0,5,1,0,0,0,0,1,1,13,5,2,1,5,0,0,0,5,6,4,28,1,7,15,22,0,2,1,161,2
절도범죄,절도범죄,5203,14510,5422,2838,827,39,11,5113,16846,2400,10037,7884,7897,2265,1025,10769,14933,1315,1421,218,119,168,5183,1314,1646,787,393,1076,98,11,255,442,650,2605,262,8,5,39,179,159,1581,1210,1582,374,50,1552,229,149,153,2003,1154,525,6363,106,649,400,320,26,20,123,37580,1013
폭력범죄,상해,1251,2407,1009,604,180,57,19,1232,2452,14,27,39,119,126,21,6,317,369,44,22,28,47,1000,110,1077,858,37,58,6,1,5,46,23,64,24,0,0,1,10,8,134,153,68,48,5,409,10,13,23,9,251,68,479,13,53,30,88,12,26,67,3836,65
폭력범죄,폭행,5262,17029,6520,2488,726,188,148,8838,16213,136,299,360,1230,726,142,61,1979,1198,216,111,135,183,5043,517,5228,3561,271,731,44,10,72,592,1741,607,377,5,4,8,122,69,636,896,427,259,31,1000,60,74,85,80,1145,250,2485,40,197,118,481,84,188,259,22731,538
폭력범죄,체포/감금,54,109,72,76,10,16,4,61,32,1,1,0,1,0,2,2,18,66,1,0,2,2,9,8,8,12,1,2,1,0,0,7,15,81,0,0,0,0,1,0,5,4,4,5,0,7,0,2,0,3,42,4,13,0,0,3,1,0,6,4,173,5
폭력범죄,협박,1787,4439,2035,792,277,407,196,2802,1316,19,23,55,255,106,14,8,390,169,14,30,12,28,789,112,474,275,26,32,9,1,7,42,40,63,11,0,0,0,13,6,80,101,51,24,9,127,7,17,18,24,143,37,310,6,19,6,126,15,60,35,5329,572
폭력범죄,약취/유인,16,57,20,9,1,0,0,20,39,0,1,1,0,1,0,0,2,13,0,0,2,0,0,0,1,1,2,0,1,1,0,0,2,3,0,0,0,0,0,0,1,11,0,2,9,4,1,1,2,1,7,2,10,0,0,0,0,0,1,1,68,2
폭력범죄,폭력행위등,194,403,145,132,62,0,0,286,938,2,3,10,38,28,6,19,123,125,12,2,14,14,149,89,265,216,2,3,0,0,2,6,5,16,5,0,1,0,1,5,45,106,47,32,9,152,0,8,4,2,34,34,188,5,51,16,29,21,8,9,1555,37
폭력범죄,공갈,309,707,198,116,94,1,0,73,200,3,6,7,35,11,1,6,83,55,2,3,12,6,47,70,17,46,3,4,1,0,0,2,2,15,0,2,0,0,1,0,15,32,50,10,3,65,1,4,3,6,12,7,42,1,9,3,42,9,9,4,2891,647
폭력범죄,손괴,2548,7074,3032,1456,360,41,36,3785,6201,37,104,98,264,190,68,409,1501,1285,33,82,41,40,1042,188,858,638,63,98,11,5,12,16,95,83,26,3,0,0,12,12,134,177,219,96,21,182,17,41,28,81,139,111,2322,13,170,100,71,2,4,27,11680,306
지능범죄,직무유기,10,14,7,6,7,2,0,13,8,1,1,0,1,1,0,0,4,1,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,30,1,0,0,1,7,0,7,1,0,0,574,3,16,2,281,67
지능범죄,직권남용,20,34,16,2,3,1,0,34,41,1,0,1,4,5,0,0,7,2,0,0,1,2,12,5,4,4,1,3,0,0,1,1,0,0,0,0,0,0,4,1,1,2,3,0,1,8,3,0,1,2,11,1,11,1,1,0,723,6,44,1,466,115
지능범죄,증수뢰,1,3,1,1,3,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,18,2,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,17,0,1,1,3,3,0,1,0,0,0,51,2,0,1,145,31
지능범죄,통화,4,2,1,1,1,0,0,5,2,0,4,11,12,6,0,0,12,1,0,2,0,0,6,2,0,0,0,0,0,0,13,0,2,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,218,2,1,0,0,0,0,3,0,0,0,125,48
지능범죄,문서/인장,199,719,126,96,95,18,2,300,77,151,251,31,189,27,5,4,470,40,6,3,0,5,87,45,79,53,1,7,8,4,46,2,0,13,2,0,0,1,2,2,13,19,18,10,7,45,1,4,9,114,78,17,30,1,7,0,1334,11,6,27,6233,1596
지능범죄,유가증권인지,2,0,1,1,1,0,0,0,1,1,2,1,0,1,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,29,5
지능범죄,사기,12032,24648,7161,4215,4157,1282,376,3975,3503,261,291,499,1288,796,209,395,8590,1684,323,316,86,224,9680,3038,4394,3955,137,369,119,4,47,37,1363,225,53,10,19,2,76,46,2194,184,1082,120,41,374,23,227,104,1118,2048,211,1534,38,141,4,1625,123,113,88,231889,78255
지능범죄,횡령,632,2424,761,491,257,62,22,2680,8223,337,527,426,1488,386,91,1333,2152,210,102,31,23,46,771,238,291,251,696,1947,108,11,699,1343,627,58,655,8,4,12,121,109,398,993,305,114,13,315,45,52,44,420,477,87,1652,40,82,639,178,4,13,45,22950,4082
지능범죄,배임,41,187,25,37,39,1,0,1,1,5,4,10,5,13,2,0,113,4,2,2,0,3,45,19,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4,15,0,1,0,0,21,2,13,7,90,18,15,18,0,2,0,105,2,0,3,2572,441
풍속범죄,성풍속범죄,826,2934,1026,707,210,5,0,256,747,33,70,38,80,19,3,17,281,738,170,9,22,61,106,87,69,61,93,393,6,0,8,119,11,40,210,0,1,5,7,9,137,164,311,41,2,309,55,69,39,2,85,10,195,24,3,936,33,69,4,4,5516,1252
풍속범죄,도박범죄,663,1039,365,225,149,0,0,7,13,0,1,15,3,9,21,1,494,30,2,1,0,37,236,51,80,33,1,0,0,0,0,1,1,2,0,0,1,0,1,0,60,21,875,90,0,7,0,1,1,0,6,0,20,0,2,0,2,44,0,3,3449,802
특별경제범죄,특별경제범죄,3496,11128,2889,1155,1226,20,2,612,765,73,144,239,1005,585,109,225,2623,469,96,100,55,113,3185,494,1595,1179,156,134,24,7,18,173,177,22,29,0,4,1,15,41,721,38,140,86,31,136,27,113,56,424,621,158,360,7,24,5,272,9,2,71,48022,18164
마약범죄,마약범죄,1419,906,1069,612,110,16,2,206,371,0,3,5,96,16,1,0,71,844,3,2,14,7,39,15,55,370,22,26,12,1,63,2,9,147,3,1,1,4,7,0,8,36,9,3,0,6,0,1,3,164,598,5,388,1,25,27,21,10,8,1,3182,334
보건범죄,보건범죄,171,265,117,488,82,5,2,117,186,1,7,49,24,357,6,3,419,148,60,59,314,174,888,79,277,755,0,8,0,0,1,5,1,2,0,0,1,0,0,0,8,8,13,18,0,4,0,0,5,0,1132,4,121,4,8,0,16,0,1,6,2541,357
환경범죄,환경범죄,18,21,8,1,5,0,0,48,20,0,1,1,0,3,27,1,36,1,7,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,7,0,0,1,0,13,2,487,5,90,0,2,0,0,0,1784,129
교통범죄,교통범죄,108,1591,132,78,58,12027,3230,199980,4700,16,56,24,8,80,14,11,109,50,2,0,0,5,59,12,5,1,25,8,3,1,2,93,4,37,1,0,3,0,34,4,34,44,1,5,1,77,1,0,8,7,38,10,301,4,27,0,73,2,2,5,7548,451
노동범죄,노동범죄,1,3,0,1,1,0,0,1,0,0,1,0,0,0,1,0,8,2,0,0,1,0,7,0,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,21,0,0,2,190,26
안보범죄,안보범죄,16,18,4,24,13,0,0,1,7,0,0,0,0,0,0,0,2,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,11,2,0,0,123,27
선거범죄,선거범죄,24,59,13,7,14,0,0,59,81,0,1,0,0,7,0,0,10,4,0,0,0,1,38,6,0,0,5,6,1,0,0,3,0,0,0,1,0,0,0,11,7,7,0,0,1,32,3,0,10,1,0,15,15,0,1,0,202,0,1,9,862,82
병역범죄,병역범죄,377,504,309,167,93,1,0,10,4,0,0,1,1,1,0,2,12,4,0,0,0,1,4,1,3,0,0,5,0,1,3,1,0,0,0,0,0,0,0,0,5,0,1,2,4,10,3,1,30,0,5,0,39,0,0,0,393,1520,2,22,5357,1324
기타범죄,기타범죄,11451,25354,10782,5464,2490,965,374,24995,10938,166,327,516,2228,869,280,313,4190,2959,293,217,1006,387,5245,746,2644,2639,190,747,85,17,232,319,319,577,187,16,13,245,131,80,1045,869,1764,866,575,2037,87,495,304,362,2437,544,4523,76,348,178,9385,714,192,552,87320,16929
